poeta,mes,año,categoria,llengua,texto,poetafullname
AR,Octubre,2019,finalista,castellano, mi abuelo murió de sangre de piedra en  los pulmones hablando sin enigmas de  cáncer y nunca lo supo fue vencido  fulminantemente pasmado sin entender  porque mi madre y abuela le guardaron el  secreto a la muerte si total no va a  salvarse que se vaya sin pena  asuntos de familia eran otros tiempos se  le llenó la respiración de polvo  levantando la casa de piedra la de  rubayo esa hecha a trancas y barrancas  con el tejado plano su habitación sin  ventanas y una celosía hecha en lo alto  los dioses sabrán por qué la levantó  para no dar explicaciones de una cuadra  hizo en lo que quiso los suelos  ondulantes mares de cemento la chimenea  torcida y las gallinas poniendo huevos  en el casco de la moto aquello parecía  vida de gitanos clama ahora mi madre con  la pupila más amarga que nunca renegando  de la edad de la higuera y el endrino  sin luz eléctrica con camping-gas ve las  estrellas y tormentas que espantaban a  los cristales con las lombrices asomando  su viscosidad siempre fuera del lugar  por los grifos terminados en caucho de  manguera  a aquellos los mejores tiempos día tras  día puchero de pollo y arroz agua 2  ya poco recuerdo de mi abuelo  excepto que me enseñó a comer el fruto  del endrino cuáles eran las flores  favoritas de los grillos  años después de su muerte  descubrí su odio por los animales negros  qué tal vez el en veneno al perro cuyo  nombre no recuerdo más guardaba fiel mi  vera y media y sobre mis pasos que abría  del cercado de las yeguas negras y las  hacía correr cambiar arriba cambiar a  abajo tras ellas íbamos mi primo y yo a  riesgo de reventar nos del pecho contra  las avance de sus sombras  que de una paliza  estalló los ojos de qik y hubo que  sacrificar no ladró otro verano que de  haber estado vivo cuando nació hubiese  ahogado a carlo mi fiel compañero de  ganas carbón  cuando murió mi abuelo  ni lo sentí no me llegaron una vez al  hospital no es tu día de velorio ni al  entierro o me dijeron abuelito muerto  ambo quien anuncia que el circo no  volverá a la ciudad solo  muchos años un día de repente me  encontré llorando de la muerte no sabría  decir muy bien porque creo que más por  vergüenza de no llorar la piel en su  momento que por algún tipo debe de pena  sin embargo a día de hoy cada vez que  pisó la casa del valle le recuerdo no  por construirla sino por morirse en el  intento sin darse cuenta como tantos nos  morimos los pulmones negros  de tanto beber sangre de piedra  rubén ,Aida Ruvalle
FS,Octubre,2019,finalista,italiano, calzava arato rossa via lasciasse mano a  casa la accumulazione danzante piovene  una umana che fu accusata come il sesso  david della valenza umana che diano mina  svegliando bus calma di fraternità di  misericordia un'innata orchestra kahn  sara denova versetti lotto narrato soavi  a sua semanas lo guardo a lungo perché  storica danzava péguy anni o sparata li  avesse il re il selenio gli hanno  sparato erse cagliar se no è stata la  vecchiaia news e los que puede samara  tus amigos ios e lo scala si casca 6  meritori coniglio poi non sogna se tipo  di c class ios e non schede pirlo  significa no  gli anni se la scheda firmò significa  che si chiedere sklar sono applicabili  alla sma aires ajax e non scala di stare  su un vocali ioria un partito por la  vida di sorte che mai uno swing che solo  chi era rubare lo scooter strike armi  sarà perché hai ios e lo ska lascaris di  astemi gli austin el mas amore che  l'abbia adulto angelo schermo così  esperto sava il must della riina e sto i  mercati sala respira  per ora un ismo santos 3 casa viola  settimana gli anni passavano perché no  descanso la vita del sesso per il the  verde quando non seduce e stato così che  permane ormai incazzata che stessa sa in  che serie di crociata ,Fatima Saheb
KV,Octubre,2019,ganador,castellano,,Karlos Viadel
O,Octubre,2019,finalista,castellano,,Olza
O,septiembre,2019,finalista,castellano, querida enfermedad mental  si tuviera un sueño  sólo uno  juraría esta alma grande nada más esta  inexistencia en esta existencia  innecesaria que me des está barricadas  que logrado ser  el polo opuesto los rodillos rotos el  baño de nudillos sin alcohol el alcohol  recorriendo la tráquea mientras la  enfermedad cuelga el juego de ocultarse  de los muertos y traviesa  se esconde  si tuviera un sueño sería valiente la  dejaría caballa espalda para alzarle de  valores y volver a ganar a ir en un  intento victorioso de encontrarla  intentarlo que ya basta  en un momento me cuestionó si podía  compartir con ella mi casa mis amigos mi  trabajo mi emocionalidad nunca le pedí  consejo ni la dirigía de forma sana ni  mucho menos creo que debería aprender de  ello tras haberla conocido en otros  seres y ahora  ahora la veo pegar a mí más bien yo  pegada a ella  así que pensaría en ella que no se me  impuso sino que yo ilustra impasible de  arbitre a mi lado tras un largo rato que  le condenó a meses de sonrisas de  trastero del cual perdí la llamé me  dices que me transformaron en días de  panes ayudantes que enterraron las  cuatro letras de mi nombre en un  cementerio de algo más inerte de dónde  surgió esas nuevas círculos marcados con  más de cervo historias vidas destruidas  en la tercera guerra mundial entre mi  aura en impulso llegasen de distinguir  el dolor del suicidio por el barranco de  otro quieren disponer la pistola en la  sien en un juego de disparo de un punta  por ciento y joder como te revienta bien  yo saber que tú mismo dispones el arma  en tu mano y te niegas la muerte a la  suerte  y pensar me quiero olvidar las cuatro  líneas del nombre las más de veinte  primaveras que coronó y pienso me duele  viéndome gobernada por un daño emocional  que etiqueta esquizofrenia porque cuadra  todos los señores son la enfermedad se  llama miedo espiritual gobernado por el  miedo me transporta a los 198 lágrimas  que fueron la vuelta la herida de 80  días me ponga escupiendo clínicas o  manipulando por toda mi esencia cargada  por la absorción de todos los colores  que desangró y esta hemorragia interna  que conmigo  aunque no  no voy a seguir haciendo mis pieles  lámparas y mis huesos botones que  palpitante voy con las manos y la vida  para dar un último mensaje no esto ya no  funciona así porque esta vez  muerte me dijo a mí  en el próximo intento aunque trae algo  más fuerte que esta depresión porque  tengo en el espejo una foto de quien fui  y de a quien regresa  cuando quedan y por ello ya mismo a ella  que la suerte abandonó cuando vistos en  la pistola en la sien  aquí estoy  sobreviviendo  y luchando con de la realidad  de mierda ,Olza
CS,septiembre,2019,finalista,castellano, qué es un bosque los árboles o el  espacio que hay entre ellos  la soledad de mi abuelo es un tronco  octavo hasta donde la pobreza en casa de  posguerra con cinco años conocía mejor  en el campo que todos nosotros ya había  recogido que el hambre es la mejor  consejera y que lograr un sueño  significa sufrir  para que hablar para que llorar  la soledad de mi abuelo es el tronco que  sus pies destruida que no se sostiene a  todos  la soledad de mi madre es un tronco  heredera compasiva de misterios de  familia y ahora templado a golpe de  qué vergüenza cómo se enteren los  vecinos pero que dicen mujer no será  para tanto será histérica  con 15 años conocía mejor la muerte que  todos nosotros como una ausencia ocupa  más que un hermano  para que hablar para que llorar  la soledad de mi madre es del tronco que  sostiene su vida que nos sostiene a  todos  la soledad de mi hermana es un truco la  hija retrasada de una familia normal un  despertador de mis pobre qué pena  la hija retrasada sabe cuan solas  estamos y cuando la necesitamos para  amar y sabe que inevitable es llorar que  necesario es hablar y que hay alguien la  soledad de mi hermana es el tronco que  sostiene nuestra vida que nosotros tiene  a todos por eso cuando la mano de mi  hermana toda la de mi abuelo el tiempo  con ser espacio se abre y en silencio el  árido campo deviene un campo de juego y  la soledad de mi abuelo que es un tronco  revela que hicimos de ella la hamaca con  la que nos metemos todos para seguir  unidos ya esta sensación que no tiene  forma le llamamos casa  y heridos de pena nos metemos  discretamente para no molestar para no  armar lo es anda lo que los problemas  son cosa de otros  y sonreímos a vacas cercanas amigas  colegas vecinos agregamos un mismo  jardín o un mismo destino  formamos un jardín goteando sin saberlo  y es que una guerra nunca empieza cuando  empieza ni acaba cuando acaba preso  cuando mi hermana toma de la mano mi  abuelo el universo se pliega sobre sí  mismo y podemos verlo  y vemos vemos un mundo amorfo al que  todas damos forma corriendo desesperados  para mantenerlo todo quieto y sin  memoria haciendo del mapa territorio  vemos un orden extraño que nos golpea y  nos hace pedazos nos separa y los vuelve  enemigos y nos desordenamos para que  todo mantenga su orden  hasta hoy  hasta ahora  he tirado del hilo y el roto la marca  y el árbol al fin ha seguido anteojos de  madrugada pieles que ahora florecen y un  nuestro otros de gruesas ramas  que el árbol al fin ha cedido anteojos  de madrugada pieles que ahora florecen y  un nosotros de gruesas ramas ,crisal rodriguez
MB,septiembre,2019,finalista,castellano,,marta b
FS,septiembre,2019,ganador,castellano, me llamo intrépida por no ser cobarde  por abrazarle a mis miedos bien fuerte  en vez de escaparme  lo entiendo en esta dinámica desafiante  porque no ven lo que yo veo en ellos a  un consejero pero nunca a un comandante  dicen que estoy kamikaze que me gusta  inmolarme quien si no encuentran el  dolor aprendizaje que de signos se lanza  tantas veces al vacío sin que lo empuje  nadie  no entiende qué necesidad tengo yo de  auto cuestionarme de convertirme en un  ser humano tan vulnerable  es necesidad tengo yo de ir donde no me  quiere en la vida porque he hecho raíz  es en sitios donde nadie se molesta  siquiera en pronunciar bien mi nombre  porque me quedo donde mis pulmones se  encuentran escaso aire porque me acerque  tanto a un sol que si ilumina pero  también puede quemarme  la gente le ve dando tumbos y me piensa  intrépida pero yo le bailó a la vida con  la música en mi cabeza yo lo enciendo  radios ajenas que me pongan en la onda  que a unos pocos les convengan  loca  si loca bohemia bohemia rarito  pero auténtica  yo y mi música la que me hace disfrutar  de esta vida que es mía a mi manera la  que hace llevadera sus muchas muchas  sorpresas nunca me he sentido tan fuerte  como cuando he sido tan frágil pero bajo  mis reglas  se llama intrépida porque he aprendido a  vivir en paz estando en constante guerra  le llaman intrépida pero dónde está el  peligro desde cuando vivimos en un mundo  en el que lo que de verdad nos da miedo  es ser nosotros y nosotras mismas  no me llaméis intrépida porque yo a mí  no me temo  cuándo    feliz  ,Fatima Saheb
KV,Julio,2019,finalista,castellano,,Karlos Viadel
DO,Julio,2019,finalista,castellano,trabacaciones  y más vacaciones  jugando  jueves  pero no  pierda la vida  la ópera es otra tarde noche de verano  roñoso en tu piso patera de tranquilos  lujoso habían dado programas sobre tu  sofá cama tesina mortifica si te las  esperas tierras medio más ticas un agua  deliciosa pizza burguesa sería una pena  salieron visiblemente aunque en sus  transversales los publireportajes digan  por fin es viernes y los apart hoteles  estén llenos de gente y en los eventos  ambientes de los gastrobar hitos de gol  en cuba litros los adultos entes ya los  aparcamientos electro tuneados hobby  aporta 7 no bailen rumba  más bien jóvenes con ganas que buscan  folla amigas desean comenzar favorita  menuda mierda de mierda de pompones esto  no te lo arregla ni un astra vacaciones  pues eres amigo vio en relación de amor  yo de la triste alegría y de la ansiedad  y te será muy fácil y muy sencillo y  complejo pasar desde bien joven directo  hacia gobierno esclavo de la era nuevo  regla el día esté terminado que son de  corta y pega menuda mierda de parálisis  bastión de leer la mente continuamente  es la infoxicación la nada exprimiendo  su link y troceada limita afinación  cargar continuamente recibiendo de la  gente  a ver si son gente o nombres de  medicinas como cebolla integral malla o  tal vez transferidas  en redes sociales donde individuos ultra  igual especiales van heel hipotecando  sus identidades donde se me mamando  nuestras palabras que estás mal vamos  extendiendo la redondez de tonta de un  meloso planeta pero esta mierda de vida  que dices de repente y cada palabrota se  resuelva en la boca decidida y potente y  de repente armado de un vigor tremebundo  apagas la pantalla y tras levantar  y de risas al mundo no es fuertes hostia  puta es un jueves que sales no es otoño  con las temperaturas todavía estivales  no es un adolescente es un puto inmaduro  no son las vacaciones es una puta mierda  al viento sin mediocre palabras que  traigan a mi mente mediocre la reflexión  es mediocre pensamientos y aunque todos  se piensen que estoy como una cabra yo  voy a seguir ahí dando la tabarra y como  tiempo sobra y furia no me falta de este  hoy de este modo voy a calar me en todo  con todas las barajas  ,dani orviz
