"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"11","astro-ph/9504048v1","1995-04-14 19:59:13","1995-04-14 19:59:13","COSMIC LITHIUM: GOING UP OR COMING DOWN ?","  Observations of interstellar lithium provide a valuable complement to studies
of lithium in Pop I and Pop II stars. Large corrections for unseen LiII and for
non-gas phase lithium have provided obstacles to using interstellar data for
abundance determinations. An approach to surmounting these difficulties is
proposed and is applied to the Galaxy and the LMC. The key is that since
potassium and lithium behave similarly regarding ionization and depletion,
their observed ratio (LiI/KI) can be used to probe the abundance and evolution
of lithium. For ten lines-of-sight in the interstellar medium of the Galaxy
(ISM) the Li/K ratio observed $(\log (N_{Li}/N_K)_{ISM} = - 1.88 \pm 0.09)$ is
entirely consistent with the solar system value $(\log (N_{Li}/N_{K})_{\odot} =
- 1.82 \pm 0.05)$. The absence of LiI in front of SN87A in the LMC, coupled
with the observed KI, corresponds to an upper bound (at $\rsim 95 \% \ CL$) of
$\log (N_{Li}/N_K)_{LMC} < - 0.3 + \log (N_{Li}/N_K)_{ISM}.$ This low upper
bound to LMC lithium suggests that cosmic lithium is on its way up from a
primordial abundance lower, by at least a factor of two, than the present Pop I
value of $[Li]_{PopI} \equiv 12 + \log (Li/H)_{PopI} = 3.2 \pm 0.1$.
","GARY STEIGMAN","","http://arxiv.org/abs/astro-ph/9504048v1","http://arxiv.org/pdf/astro-ph/9504048v1","http://dx.doi.org/10.1086/176768","Submitted to the ApJ (Part 1), April 14, 1995","Astrophys.J. 457 (1996) 737","10.1086/176768","astro-ph","astro-ph"
"12","quant-ph/9506022v1","1995-06-14 15:45:23","1995-06-14 15:45:23","Relativistic nuclear recoil corrections to the energy levels of
  hydrogen-like and high $Z$ lithium like atoms in all orders in $aZ$","  The relativistic nuclear recoil corrections to the energy levels of
low-laying states of hydrogen-like and high $Z$ lithium-like atoms in all
orders in $\alpha Z$ are calculated. The calculations are carried out using the
B-spline method for the Dirac equation.
  For low $Z$ the results of the calculation are in good agreement with the
$\alpha Z$ -expansion results. It is found that the nuclear recoil
contribution, additional to the Salpeter's one, to the Lamb shift ($n=2$) of
hydrogen is $-1.32(6)\,kHz$. The total nuclear recoil correction to the energy
of the $(1s)^{2}2p_{\frac{1}{2}}-(1s)^{2}2s$ transition in lithium-like uranium
constitutes $-0.07\,eV$ and is largely made up of QED contributions.
","A. N. Artemyev|V. M. Shabaev|V. A. Yerokhin","Department of Physics, St.Petersburg State University|Department of Physics, St.Petersburg State University|Department of Physics, St.Petersburg State University","http://arxiv.org/abs/quant-ph/9506022v1","http://arxiv.org/pdf/quant-ph/9506022v1","http://dx.doi.org/10.1103/PhysRevA.52.1884","19 pages, latex, accepted for publication in Phys. Rev. A","","10.1103/PhysRevA.52.1884","quant-ph","quant-ph"
"13","astro-ph/9508015v1","1995-08-04 11:43:19","1995-08-04 11:43:19","Radiation Dosimetry of Binary Pulsars","  Companion stars exposed to high energy radiation from a primary neutron star
or accreting black hole can experience significant spallation of their heavy
elements, so that their atmospheres would be extremely rich in lithium,
beryllium, and especially boron. In this paper we note that the detection or
non-detection of these elements, and their relative abundances if detected,
would provide a diagnostic of the high energy output of the primary, and
possibly the shock acceleration of particles at the companion's bow shock in a
pulsar wind.
","David Eichler|Biman B. Nath","","http://arxiv.org/abs/astro-ph/9508015v1","http://arxiv.org/pdf/astro-ph/9508015v1","http://dx.doi.org/10.1086/176810","To appear in The Astrophysical Journal. Plain TeX file, 8 pages, no
  figures","Astrophys.J. 458 (1996) 275","10.1086/176810","astro-ph","astro-ph"
"14","quant-ph/9510016v1","1995-10-16 18:25:44","1995-10-16 18:25:44","Nuclear recoil corrections to the $2p_\frac{3}{2}$ state energy of
  hydrogen-like and high $Z$ lithium like atoms in all orders in $aZ$","  The relativistic nuclear recoil corrections to the energy of the
$2p_{\frac{3}{2}}$ state of hydrogen-like and the $(1s)^{2}2p_{\frac{3}{2}}$
state of high $Z$ lithium-like atoms in all orders in $\alpha Z$ are
calculated. The calculations are carried out using the B-spline method for the
Dirac equation. For low $Z$ the results of the calculation are in good
agreement with the $\alpha Z$ -expansion results. It is found that the total
nuclear recoil contribution to the energy of the $(1s)^{2}2p_{\frac{3}{2}}-
(1s)^{2}2s$ transition in lithium-like uranium constitutes $-0.09\,eV$.
","A. N. Artemyev|V. M. Shabaev|V. A. Yerokhin","Department of Physics, St.Petersburg State University|Department of Physics, St.Petersburg State University|Department of Physics, St.Petersburg State University","http://arxiv.org/abs/quant-ph/9510016v1","http://arxiv.org/pdf/quant-ph/9510016v1","http://dx.doi.org/10.1088/0953-4075/28/24/006","12 pages, latex, Submitted to Journal of Physics B","","10.1088/0953-4075/28/24/006","quant-ph","quant-ph"
"15","astro-ph/9511080v1","1995-11-17 08:39:42","1995-11-17 08:39:42","A consistent explanation for $^{12}$C/$^{13}$C, $^7$Li, and $^3$He
  anomalies in red giant stars","  The observations of carbon isotopic ratios in evolved stars suggest that non
standard mixing is acting in low mass stars as they are ascending the red giant
branch. We propose a simple consistent mechanism, based on the most recent
developments in the description of rotation-induced mixing by Zahn (1992),
which simultaneously accounts for the low $^{12}$C/$^{13}$C ratios in globular
cluster and field Pop II giants and for the lithium abundances in metal-poor
giant stars. It also leads to the destruction of $^3$He produced on the main
sequence in low mass stars. This should both naturally account for the recent
measurements of $^3$He/H in galactic HII regions and allow for high values of
$^3$He observed in some planetary nebulae.
","Corinne Charbonnel","","http://arxiv.org/abs/astro-ph/9511080v1","http://arxiv.org/pdf/astro-ph/9511080v1","http://dx.doi.org/10.1086/309744","3 pages plus 2 figures, uses aaspp.sty; offprint requests to :
  corinne@obs-mip.fr","ApJ Letter L41 (1995) 453","10.1086/309744","astro-ph","astro-ph"
"16","astro-ph/9512122v2","1995-12-19 10:45:49","1998-06-16 21:53:35","Creation of Li-7 and Destruction of He-3, Be-9, B-10, and B-11 in Low
  Mass Red Giants, Due to Deep Circulation","  It has been demonstrated that Li-7 can be created in low mass red giant
stars, via the Cameron-Fowler mechanism, due to extra deep mixing and the
associated ""cool bottom processing"" (CBP). Under certain conditions, this Li-7
creation can take the place of the Li-7 destruction normally expected. Note
that such extra mixing on the red giant branch (RGB) has previously been
invoked to explain the observed C-13 enhancements. This new Li-7 production can
account for the recent discovery of surprisingly high lithium abundances in
some low mass red giants (a few of which are super-rich lithium stars, with
abundances higher than that in the interstellar medium). The amount of Li-7
produced can exceed log epsilon(Li-7) = 4, but depends critically on the
details of the extra mixing mechanism (mixing speeds, geometry, episodicity).
If the deep circulation is a relatively long-lived, continuous process,
lithium-rich RGB stars should be completely devoid of beryllium and boron. CBP
also leads to He-3 destruction in low mass stars; in contrast to Li-7 creation,
the extent of He-3 depletion is largely independent of the details of the extra
mixing mechanism. The overall contribution from solar-metallicity stars (1 - 40
Msun) is expected to be net destruction of He-3, with overall He-3 survival
fraction g_3 = 0.9 +/- 0.2 (weighted average) --- in contrast to standard
dredge-up, which would predict stars are net producers of He-3 (g_3:dr = 2.4
+/- 0.5). Pop II stars experience even more severe He-3 depletion, with 0.3 <
g_3 < 0.7. Destruction of He-3 in low mass stars is consistent with the
requirements of galactic chemical evolution models; it would also result in
some relaxation of the upper bound on the primordial (D + He-3)/H abundance.
","I. -Juliana Sackmann|Arnold I. Boothroyd","Caltech|Monash/Caltech","http://arxiv.org/abs/astro-ph/9512122v2","http://arxiv.org/pdf/astro-ph/9512122v2","","ApJ, in press; 30 pages including 16 postscript figures (LaTeX, uses
  AASTeX macros in aaspp4.sty and epsf.sty). Extensive revisions, some added
  figures. See also astro-ph/9512121, http://www.krl.caltech.edu/~aib/","","","astro-ph","astro-ph"
"17","astro-ph/9512147v1","1995-12-22 10:10:54","1995-12-22 10:10:54","Destruction of 3He in Low Mass Stars and Implications for Chemical
  Evolution","  Recent observations of 3He/H in different environments tend to prove that 3He
is not produced in low mass stars, contrary to the standard predictions of
stellar evolution theory. We show how a simple consistent mechanism, namely
rotation-induced mixing, can lead to the destruction of 3He in low mass stars
and simultaneously account for the low 12C/13C ratios and low lithium
abundances observed in giant stars of different populations. This process
should both naturally account for the recent measurements of 3He/H in galactic
HII regions and allow for high values of 3He observed in some planetary
nebulae.
","C. Charbonnel","Laboratoire d'Astrophysique de Toulouse","http://arxiv.org/abs/astro-ph/9512147v1","http://arxiv.org/pdf/astro-ph/9512147v1","","Proceedings of the meeting ""From Stars to Galaxies"" Crete, 9-13
  oct.1995, C.Leitherer, U.Fritze-von Alvensleben, L.Hucra eds, PASP in press,
  5 pages, uuencoded, compressed Postscript file including all figures","","","astro-ph","astro-ph"
"18","astro-ph/9601136v2","1996-01-24 17:02:42","1996-03-02 14:02:58","New Solar Models Including Helioseismological Constraints and
  Light-Element Depletion","  We have computed new solar models using the same stellar evolution code as
described in Charbonnel, Vauclair and Zahn (1992). This code, originating from
Geneva, now includes the computation of element segregation for helium and 12
heavier isotopes. It may also include any type of mixing of the stellar gas,
provided this mixing may be parametrized with an effective diffusion
coefficient as a function of radius. Here we introduced rotation-induced mixing
as prescribed by Zahn (1992). We present five solar models: the standard model;
two models including pure element segregation; two models with both element
segregation and rotation-induced mixing. The $u = {P \over \rho }$ function
computed as a function of radius in these new solar models are compared to the
helioseismological results obtained for the same function by Dziembowski et al
(1994). Improving the physics of the models leads to a better consistency with
helioseismology. In our best model, which includes both segregation and mixing,
the relative difference in the $ u $ function between the model and the
helioseismological results is smaller than 0.5 per cent at all radii except at
the center and the surface. Meanwhile lithium is depleted by a factor 155 and
beryllium by a factor 2.9, which is consistent with the observations. The
bottom of the convective zone lies at a fractional radius of 0.716, consistent
with helioseismology. The neutrino fluxes are not decreased in any of these
models. The models including the computations of element segregation lead to a
present surface helium abundance of: $ Y_{surf} $ between 0.248 and 0.258,
which is in satisfactory agreement with the value derived from helioseismology.
","O. Richard|S. Vauclair|C. Charbonnel|W. A. Dziembowski","Observatoire Midi-Pyrenees, Toulouse, France|Observatoire Midi-Pyrenees, Toulouse, France|Observatoire Midi-Pyrenees, Toulouse, France|Copernicus Astronomical Center, Warsaw, Poland","http://arxiv.org/abs/astro-ph/9601136v2","http://arxiv.org/pdf/astro-ph/9601136v2","","14 pages, 5 postscript figures (included), for LaTeX, uses epsf.sty
  and A&A style file l-aa.sty version 3.0 (not included), gzip'ed tar file.
  Accepted for publication in A&A","Astron.Astrophys.312:1000-1011,1996","","astro-ph","astro-ph"
"19","astro-ph/9605020v1","1996-05-06 13:14:24","1996-05-06 13:14:24","Convection in stellar envelopes: a changing paradigm","  Progress in the theory of stellar convection over the past decade is
reviewed. The similarities and differences between convection in stellar
envelopes and laboratory convection at high Rayleigh numbers are discussed.
Direct numerical simulation of the solar surface layers, with no other input
than atomic physics, the equations of hydrodynamics and radiative transfer is
now capable of reproducing the observed heat flux, convection velocities,
granulation patterns and line profiles with remarkably accuracy. These results
show that convection in stellar envelopes is an essentially non-local process,
being driven by cooling at the surface. This differs distinctly from the
traditional view of stellar convection in terms of local concepts such as
cascades of eddies in a mean superadiabatic gradient. The consequences this has
for our physical picture of processes in the convective envelope are
illustrated with the problems of sunspot heat flux blocking, the eruption of
magnetic flux from the base of the convection zone, and the Lithium depletion
problem.
","H. C. Spruit","MPI for Astrophysics","http://arxiv.org/abs/astro-ph/9605020v1","http://arxiv.org/pdf/astro-ph/9605020v1","","17 pages, uses memsait.sty, 2 postscript figures. Review, to appear
  in Mem. Soc. Astron. It. Much of the numerical work quoted is available at:
  http://www.astro.ku.dk/~aake/ http://www.pa.msu.edu/~steinr/research.html
  http://www.mmm.ucar.edu/blt/kerr_misc.html","","","astro-ph","astro-ph"
"20","astro-ph/9606025v2","1996-06-05 00:57:26","1996-06-06 01:01:22","The Deuteron Confronts Big Bang Nucleosynthesis","  Recent determinations of the deuterium abundance, $^2$H/H, in high redshift
Lyman limit hydrogen clouds challenge the usual picture of primordial
nucleosynthesis based on \lq\lq concordance\rq\rq\ of the calculated light
element ($^2$H, $^3$He, $^4$He, $^7$Li) nucleosynthesis yields with the
observationally-inferred abundances of these species. Concordance implies that
all light element yields can be made to agree with the observationally-inferred
abundances (within errors) for single global specifications of the
baryon-to-photon ratio, $\eta$; lepton number; neutron lifetime; and expansion
rate (or equivalently, effective number of light neutrino degrees of freedom
$N_{\nu} $). Though one group studying Lyman limit systems obtains a high value
of $^2$H/H ($\sim 2\times {10}^{-4}$), another group finds consistently low
values ($\sim 2\times {10}^{-5}$). In the former case, concordance for $N_{\nu}
=3$ is readily attained for the current observationally-inferred abundances of
$^4$He and $^7$Li. But if the latter case represents the primordial deuterium
abundance, then concordance for {\it any} $N_{\nu}$ is impossible unless the
primordial value of $^7$Li/H is considerably larger than the abundance of
lithium as measured in old, hot Pop II halo stars. Furthermore, concordance
with $N_{\nu}=3$ is possible for low $^2$H/H only if either (1) the primordial
$^4$He abundance has been significantly underestimated, or (2) new neutrino
sector physics is invoked. We argue that systematic underestimation of both the
$^7$Li and $^4$He primordial abundances is the likely resolution of this
problem, a conclusion which is strengthened by new results on $^4$He.
","George M. Fuller|Christian Y. Cardall","","http://arxiv.org/abs/astro-ph/9606025v2","http://arxiv.org/pdf/astro-ph/9606025v2","http://dx.doi.org/10.1016/S0920-5632(96)00485-9","To be published in Nucl. Phys. B (Proc. Suppl.), in the proceedings
  of ""Sources and Detection of Dark Matter in the Universe"", held in Santa
  Monica, Feb. 14-16 1996. 5 pages. Replaced version has a TeX command removed
  that apparently caused some latex compilers to fail","Nucl.Phys.Proc.Suppl. 51B (1996) 71-75","10.1016/S0920-5632(96)00485-9","astro-ph","astro-ph|hep-ph"
"21","astro-ph/9606090v1","1996-06-14 17:15:52","1996-06-14 17:15:52","Theoretical LTE & NLTE curves of growth for Li I lines in G-M dwarfs and
  subgiants","  Detailed simultaneous radiative transfer-statistical equilibrium calculations
have been performed for lithium in atmospheres of solar metallicity G-M dwarfs
and subgiants. Model atmospheres of stars with $3500 \le \Tf \le 6000$ K, $3.0
\le \lgg \le 4.5$ have been considered. The behaviour of level populations,
source functions and curves of growth for the lithium doublet at $\lambda
670.8$~nm and two subordinate lines of astrophysical interest ($\lambda
610.3$~nm and $\lambda 812.6$~nm) are discussed. For the coolest atmospheres of
our grid we find that the dependence of non-LTE equivalent widths and profiles
on gravity is very weak. The computed LTE and non-LTE curves of growth are
given in tabular form.
","Ya. V. Pavlenko|A. Magazzu","","http://arxiv.org/abs/astro-ph/9606090v1","http://arxiv.org/pdf/astro-ph/9606090v1","","LaTeX, 9 pages. Eight Postscript figures. Use laa.sty and psfig
  (included). Tar'd and gzip'd. Accepted by Astron. and Astrophys","Astron.Astrophys. 311 (1996) 961","","astro-ph","astro-ph"
"22","astro-ph/9609138v1","1996-09-19 23:08:54","1996-09-19 23:08:54","Big Bang Nucleosynthesis and the Observed Abundances of Light Elements","  The predictions of Standard Big Bang Nucleosynthesis are summarized and
compared with observations of abundances of helium in HII regions, deuterium in
quasar absorbers, deuterium and helium-3 in the Galaxy, and lithium in
metal-poor stars. It is concluded that the prospects are good for a precise
test of the theory.
","Craig J. Hogan","","http://arxiv.org/abs/astro-ph/9609138v1","http://arxiv.org/pdf/astro-ph/9609138v1","","13 pages, Latex. Contribution to the Princeton meeting, ``Critical
  Dialogues in Cosmology''","","","astro-ph","astro-ph"
